# Third and fourth moments of the node voltages, 30 gnd2 records, mean +- SEM over records. The 200-50k rows are band-limited with make_figures.bandpass; the *_unfiltered rows slice the RAW record the same way, to show what the band limit removes. isserlis_* are the relative residuals of the two fourth-moment identities a jointly Gaussian pair satisfies exactly; node 0 means both. Generated by moments.py.
band,quantity,node,value,std_err
200-50k,skewness,1,+0.00555,0.00359
200-50k,excess_kurtosis,1,+0.01396,0.00796
200-50k,skewness,2,-0.00054,0.00288
200-50k,excess_kurtosis,2,+0.00422,0.00684
200-50k,isserlis_x1sq_x2sq,0,+0.00129,0.00302
200-50k,isserlis_x1cu_x2,0,+0.00667,0.00475
0-200,excess_kurtosis_unfiltered,1,+0.03178,0.05153
0-200,power_share_unfiltered,1,+0.01687,0.00038
0-200,excess_kurtosis_unfiltered,2,+0.10580,0.06934
0-200,power_share_unfiltered,2,+0.02013,0.00094
200-50k,excess_kurtosis_unfiltered,1,+0.01396,0.00796
200-50k,power_share_unfiltered,1,+0.23561,0.00176
200-50k,excess_kurtosis_unfiltered,2,+0.00422,0.00684
200-50k,power_share_unfiltered,2,+0.25402,0.00164
50k-up,excess_kurtosis_unfiltered,1,+1.46256,0.02414
50k-up,power_share_unfiltered,1,+0.74764,0.00189
50k-up,excess_kurtosis_unfiltered,2,+3.35185,0.04958
50k-up,power_share_unfiltered,2,+0.72592,0.00208
