# Node 1 spectrum, 30 records pooled. Model uses measured components and the COMPUTED gain (A 1125, B 1130) - nothing fitted.
freq_Hz,measured_V_per_rtHz,model_V_per_rtHz
152.59,1.2574e-05,1.1521e-05
162.12,1.2408e-05,1.1515e-05
171.66,1.2592e-05,1.1510e-05
181.20,1.2862e-05,1.1504e-05
190.73,1.2595e-05,1.1498e-05
200.27,1.2281e-05,1.1491e-05
209.81,1.2335e-05,1.1484e-05
219.35,1.2211e-05,1.1477e-05
228.88,1.2333e-05,1.1470e-05
238.42,1.2402e-05,1.1462e-05
247.96,1.2422e-05,1.1454e-05
257.49,1.2316e-05,1.1445e-05
267.03,1.2471e-05,1.1437e-05
276.57,1.2314e-05,1.1428e-05
286.10,1.2411e-05,1.1419e-05
295.64,1.2908e-05,1.1409e-05
305.18,1.2806e-05,1.1399e-05
314.71,1.2501e-05,1.1389e-05
324.25,1.2165e-05,1.1379e-05
333.79,1.2158e-05,1.1368e-05
343.32,1.2131e-05,1.1357e-05
352.86,1.2034e-05,1.1346e-05
362.40,1.2351e-05,1.1335e-05
371.93,1.2535e-05,1.1323e-05
381.47,1.1988e-05,1.1311e-05
391.01,1.2296e-05,1.1299e-05
400.54,1.2398e-05,1.1286e-05
410.08,1.2231e-05,1.1273e-05
419.62,1.2483e-05,1.1260e-05
429.15,1.2568e-05,1.1247e-05
438.69,1.2377e-05,1.1234e-05
448.23,1.2159e-05,1.1220e-05
457.76,1.2134e-05,1.1206e-05
467.30,1.1743e-05,1.1192e-05
476.84,1.1582e-05,1.1177e-05
486.37,1.2100e-05,1.1163e-05
495.91,1.1865e-05,1.1148e-05
505.45,1.1964e-05,1.1132e-05
514.98,1.2170e-05,1.1117e-05
524.52,1.2269e-05,1.1102e-05
534.06,1.2094e-05,1.1086e-05
543.59,1.1957e-05,1.1070e-05
553.13,1.1989e-05,1.1054e-05
562.67,1.1718e-05,1.1037e-05
572.20,1.2316e-05,1.1021e-05
581.74,1.2066e-05,1.1004e-05
591.28,1.1879e-05,1.0987e-05
600.81,1.1860e-05,1.0970e-05
610.35,1.1935e-05,1.0952e-05
619.89,1.1992e-05,1.0935e-05
629.43,1.2427e-05,1.0917e-05
638.96,1.2145e-05,1.0899e-05
648.50,1.1797e-05,1.0881e-05
658.04,1.2159e-05,1.0863e-05
667.57,1.1326e-05,1.0844e-05
677.11,1.1128e-05,1.0826e-05
686.65,1.0866e-05,1.0807e-05
696.18,1.1543e-05,1.0788e-05
705.72,1.1586e-05,1.0769e-05
715.26,1.1971e-05,1.0750e-05
734.33,1.4349e-05,1.0711e-05
743.87,1.2358e-05,1.0691e-05
753.40,1.1973e-05,1.0672e-05
762.94,1.2270e-05,1.0652e-05
772.48,1.1758e-05,1.0632e-05
791.55,1.1286e-05,1.0592e-05
801.09,1.1025e-05,1.0571e-05
810.62,1.1404e-05,1.0551e-05
820.16,1.1308e-05,1.0530e-05
839.23,1.1380e-05,1.0489e-05
848.77,1.0867e-05,1.0468e-05
858.31,1.0893e-05,1.0447e-05
877.38,1.1705e-05,1.0404e-05
886.92,1.1096e-05,1.0383e-05
905.99,1.0972e-05,1.0340e-05
915.53,1.1174e-05,1.0319e-05
925.06,1.1299e-05,1.0297e-05
944.14,1.1487e-05,1.0254e-05
953.67,1.1431e-05,1.0232e-05
972.75,1.1064e-05,1.0188e-05
982.28,1.0959e-05,1.0166e-05
1001.36,1.1254e-05,1.0122e-05
1020.43,1.1570e-05,1.0078e-05
